ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06137151899349321;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06270502155708269;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0720366593709256;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05524083145071793;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06715638936295;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.057439371128016115;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
350;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06616891897311357;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
400;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.055627080605037044;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
450;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06744150953462215;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
500;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07381897542513387;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
550;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.055833977210381205;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
600;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0651627104933923;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
650;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05739203839753943;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
700;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05993699214371615;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
750;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06081673615185286;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
800;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06329332581654981;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
850;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07326410552342115;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
900;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056469893942563555;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
950;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059507202431145795;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1000;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06418100145886745;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1050;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059921880107256964;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07532926623794954;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06581019591480303;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06038904447464185;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1250;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06407630705238271;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1300;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05879839019402411;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1350;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06129198389898442;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1400;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06260332131750258;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1450;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.061970293419191906;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1500;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06825214466950626;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1550;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.060015890863190806;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1600;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05983580755940279;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1650;2572.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06123435535932534;0.0;0.0;0.0;0.0;1.0;7.874772875624412e-05;1.0000787477287563;0.0;0.0;0.0;0.0;1.0;7.874772875624412e-05;1.0000787477287563
1700;2571.9166666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07031697496566812;0.0;0.0;0.0;0.0;1.0;1.9801409292930734e-06;1.0000019801409292;0.0;0.0;0.0;0.0;1.0;1.9801409292930734e-06;1.0000019801409292
1750;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059755846771182765;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1800;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.060034626987435134;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1850;2572.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06111241654019371;0.0;0.0;0.0;0.0;1.0;7.874772875624412e-05;1.0000787477287563;0.0;0.0;0.0;0.0;1.0;7.874772875624412e-05;1.0000787477287563
1900;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058571844950551025;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1950;6652.083333333333;0.03524437915979846;0.000717391227766738;0.0013869842242255866;0.1682769175252302;0.002252642551264303;5.176194184717655e-05;9.984133666462879e-05;0.08132394120400126;0.016503528124455224;0.05247748507140604;0.0608093855222225;0.009873951597335952;0.008384108981721282;0.12736061218138361;0.8627654362212804;0.021725029250107063;1.0118510776527712;0.18526489243946817;0.030977054335441092;0.026963673575085237;0.10625750944327846;0.8627654362212804;0.021725029250107063;0.9907479749146659
2000;2572.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05979682977944996;0.0;0.0;0.0;0.0;1.0;7.874772875624412e-05;1.0000787477287563;0.0;0.0;0.0;0.0;1.0;7.874772875624412e-05;1.0000787477287563
2050;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06902366303155502;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
2100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05671024039574813;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
2150;2736.883333333333;0.021329080050909024;0.00036877588264999113;0.0007189133655540969;0.11329672201456793;0.0027330275259107805;3.196542589258075e-05;6.308614939846063e-05;0.07264633514634135;0.0014407357502761273;0.06848733530498491;0.11942451791677673;0.0007272425063265113;0.0007221382275687428;0.0049317604584678465;0.9943409970352055;0.00020152869850097014;0.9994742861921745;0.2300024958604893;0.0014926307787268358;0.0014849960352395241;0.004166372186067523;0.9943409970352055;0.00020152869850097014;0.9987088979197741
2200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06291019404242766;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
2250;2622.35;0.06336892266966564;0.0002547929755149439;0.0005030279611868431;0.0766907365111488;0.014292929292929293;3.4859521865496956e-05;6.953449800333309e-05;0.027777777777779324;0.0011519972121088245;0.07868944860712045;0.19907110426195365;0.000580660695070528;0.0005788026179514054;0.0015418631868562;0.9978774761180733;3.113550295230492e-05;0.9994504748078817;0.28363560818775346;0.0008316517404675987;0.0008301209329633533;0.0012908721414591291;0.9978774761180733;3.113550295230492e-05;0.9991994837624847
2300;4774.6;0.07614002505901071;0.008143208615346677;0.014471507501041266;0.44521547747721557;0.021560400929507898;0.002344752587899682;0.004171798917151115;0.6224809100122531;0.05111919077258798;0.1321593066936676;0.2572228054934877;0.02921842106808794;0.02743682021986432;0.0674935107741858;0.9032880681577261;0.010566156579512688;0.9813477355114248;0.5057158375330372;0.05590021879677582;0.053436349667906;0.04081171304549792;0.9032880681577261;0.010566156579512688;0.954665937782737
2350;8050.383333333333;0.1466961100719506;0.04903403777022756;0.07037423533344606;0.4718483905073427;0.04459446069554538;0.014706326593396345;0.021230012409823935;0.8004379288462729;0.14369012537436845;0.18599517892786682;0.34561777187298937;0.09260282638581756;0.08082843762620327;0.15091105734981858;0.7564861162643639;0.022193798426834995;0.9295909720410176;0.5315988995945956;0.1419887374150637;0.12823429153178442;0.10152514632057244;0.7564861162643639;0.022193798426834995;0.8802050610117713
2400;9070.3;0.1780225003554287;0.0799749871103874;0.10603033693035371;0.48330628450018664;0.058431980959265044;0.02577982082209777;0.0344340227891455;0.8067595778224204;0.18118031563295242;0.21774943809467123;0.3790455648528527;0.12170337727931783;0.10381371310699278;0.16171902912846303;0.7165775935922192;0.03355733060627109;0.9118539533269534;0.5501151866816478;0.17562680517983084;0.15613910502660655;0.10779560122795001;0.7165775935922192;0.03355733060627109;0.8579305254264402
2450;8726.633333333333;0.22465052050110892;0.11107039858552348;0.142122565437306;0.4825509813263873;0.07704773306566641;0.03724478694075953;0.04808345214878645;0.7942930952560736;0.20870715077144888;0.25562214616960255;0.4403726636865772;0.14041122762649888;0.12133325695876972;0.14281934748943084;0.7167694248840701;0.028864881691625502;0.8884536540651266;0.595857288547208;0.18773764479222668;0.16899777320331089;0.09549293032370304;0.7167694248840701;0.028864881691625502;0.8411272368993988
2500;10717.25;0.20137948530410144;0.1292721955608061;0.15191069263379006;0.49434009018968716;0.07546129362632478;0.04729863953516402;0.05618623713798211;0.788592272455551;0.2316775729969562;0.25645630619169923;0.4076032783557562;0.16512132526233364;0.13662280114193762;0.1944932294387826;0.6403854452988837;0.04514107575273287;0.8800197504903993;0.5560134382279807;0.22408435411301972;0.19395020178710215;0.13553020058809653;0.6403854452988837;0.04514107575273287;0.8210567216397131
2550;10601.45;0.2456102418977073;0.18601247011122773;0.20535873064491655;0.48035175348633835;0.09483227267184251;0.06871884667029976;0.07742262862282921;0.7774553652371172;0.25219320579102406;0.27586231943480427;0.4457690439089825;0.17982142665400738;0.14898428782680387;0.18503684868633805;0.6351417246596546;0.04318044399724323;0.863359017343236;0.5754139871508844;0.23110504804000523;0.1999367892558078;0.13375322730034023;0.6351417246596546;0.04318044399724323;0.8120753959572381
2600;12451.5;0.21901416422143552;0.1860811319076072;0.19545653940856228;0.5007021350074656;0.09149969005331116;0.07610982975695992;0.08076528591850952;0.7791741802671954;0.27042794147022364;0.2732423998721129;0.4150025386267074;0.2055097745377725;0.16260120406767792;0.222591338565383;0.5718988868968445;0.06266328662925776;0.8571535120914854;0.5436664474507418;0.2664677277228748;0.2218009909276222;0.16163338538028071;0.5718988868968445;0.06266328662925776;0.7961955589063829
2650;11662.566666666668;0.23205577698586902;0.2038034354243856;0.2119637435933156;0.4980679708066934;0.10022135587959534;0.08514535233722764;0.08997126186721455;0.770687937492168;0.2720331933273303;0.288134520018425;0.4422508441539953;0.2003557385207553;0.16305879305845022;0.20103383059256077;0.5986104308866839;0.051663465019105195;0.8513077264983498;0.5755608007535223;0.25918615492282515;0.2211993337145125;0.14220341419049093;0.5986104308866839;0.051663465019105195;0.7924773100962802
2700;11901.8;0.24837550826640184;0.23758501162230963;0.2374415287335492;0.48473190559690144;0.10772180167470252;0.0989167701752401;0.10095868622216123;0.7675696605999801;0.28327805691738367;0.29546681424395393;0.4478398083513867;0.21142108811773153;0.17081179785336173;0.20267287073287402;0.5859060411493945;0.05714332768704964;0.8457222395693181;0.5767559060075551;0.27045915704571133;0.22924518436632116;0.14363480180489419;0.5859060411493945;0.05714332768704964;0.7866841706413383
2750;11945.95;0.27029259419582713;0.2580629068700661;0.25844128430228147;0.491062898908745;0.12106025957320946;0.11151703713083548;0.11373942235301336;0.7630465862784123;0.29274927241140525;0.3014712523596514;0.46001799906501284;0.21910664192915802;0.17732176122437165;0.19872657059669843;0.5821667874741436;0.05669538825188405;0.8375887463227261;0.5857138880429112;0.27719471926726924;0.23528944436395455;0.1406384932585873;0.5821667874741436;0.05669538825188405;0.779500668984615
2800;12961.383333333333;0.243842567181907;0.243391000419432;0.23814590421867468;0.4952397024284489;0.10897264013438561;0.10490098767014892;0.10460580800805505;0.7700434801067477;0.29809931424573693;0.3013830010510983;0.4451452290286582;0.22854386867185186;0.1810884466496038;0.21583415959481084;0.5556219717333374;0.0666688861165438;0.8381250174446919;0.5633051989042909;0.28684535929456706;0.23833681760312117;0.15753266897209564;0.5556219717333374;0.0666688861165438;0.7798235268219769
