ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0773114523812065;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0752587717430779;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08213481440123682;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08416194503021515;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08441771451988588;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09190452555391733;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
350;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09752629905309597;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
400;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09931082580022184;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
450;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10209377747138165;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
500;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10332055318454099;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
550;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10425131268343954;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
600;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10497807767743693;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
650;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10321055779396716;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
700;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10513392807016442;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
750;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10575578780517068;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
800;2583.116666666667;0.025464616402116398;0.0001523686320167492;0.0003017858561915471;0.04243516399694977;0.010367063492063492;3.999859158516669e-05;7.960469506211638e-05;0.046666666666666294;0.0002681138302412755;0.1099994862148226;0.09102624649695268;0.00013466145315224547;0.00013438997413909215;0.0005001247625328987;0.999365213784315;7.078282152988392e-06;0.9998724168290007;0.15578355017347897;0.0002244256898459902;0.00022417924547901873;0.0004103605258391539;0.999365213784315;7.078282152988392e-06;0.999782652592307
850;2628.7;0.044511861783340274;0.0005568261893681988;0.0010825614640358194;0.13816574587910146;0.026971014714987737;0.00022223921837583572;0.0004361024702909458;0.12092343503057194;0.0019618427482416953;0.10903594609168361;0.1816143098027117;0.0010066671182502429;0.0009915998857704816;0.0023415637106095136;0.9966517691711402;0.00018391176220010832;0.9991772446439499;0.28972551758643167;0.0018494223635444128;0.0018404956918789475;0.0014988084653153432;0.9966517691711402;0.00018391176220010832;0.9983344893986555
900;2614.5333333333333;0.025365482993156326;0.00034390737369209903;0.000673101682936024;0.10173774365790005;0.0029131652661064425;4.7288485332504544e-05;9.304194772558477e-05;0.027896825396825888;0.001069864607061582;0.10804508539130793;0.11982982658023987;0.0005406878088301682;0.0005367589017460315;0.0017327442720564425;0.9977265679191134;0.00010544768537221;0.999564759876542;0.24007772257716778;0.0010202630595035334;0.0010163198123015358;0.0012531690213830778;0.9977265679191134;0.00010544768537221;0.9990851846258686
950;2632.15;0.061271791104457005;0.0003294564432137554;0.0006504907684877028;0.12055747693250145;0.01090257508020666;8.307790963923854e-05;0.0001646635537059537;0.08301587301587082;0.001641246351673311;0.10843370592458354;0.20440870693946986;0.000829378192896992;0.0008247737900969329;0.001977912115390382;0.9971927096917127;0.00010365612164751518;0.9992742779287506;0.3581835059040932;0.001373280873716188;0.001369518597633492;0.0014340094345711859;0.9971927096917127;0.00010365612164751518;0.9987303752479314
1000;2930.85;0.04039030821904668;0.0015502936996806506;0.0029161489957551597;0.24425169548070694;0.01009288848997828;0.0003670775333353352;0.0007005737961577274;0.255668811897987;0.00642816508396216;0.11121375295656973;0.15626474634828103;0.0033506639078991684;0.0032516944344236523;0.013278089921355124;0.9833712461707457;0.0013248033695098056;0.9979741394616107;0.29631270864232495;0.006889699227539497;0.006780655818655843;0.009739054601714793;0.9833712461707457;0.0013248033695098056;0.9944351041419703
1050;2784.05;0.06236444436207937;0.0012849760516591955;0.002476709355195315;0.29018466204134236;0.021259882552200758;0.00040573346635979613;0.0007849552549976643;0.3243089750520119;0.005874146764745348;0.11404888577526416;0.2577591246300498;0.003013966779139805;0.0029646008141657925;0.006382591197817149;0.9906034420230428;0.0006999402156162833;0.9976859734364765;0.4639765947189726;0.0055224656104942175;0.005472912678670588;0.003874092366462738;0.9906034420230428;0.0006999402156162833;0.9951774746051221
1100;2935.483333333333;0.05776721222460117;0.002162793381973148;0.00405699921510011;0.2766412343408192;0.013353880645335148;0.0004165733467682388;0.0008010595576862211;0.2555715748855353;0.007304127299405536;0.11306864508302224;0.20055232172605114;0.0037813366624108178;0.003687289417581661;0.011999187047077798;0.9842194762905113;0.000880498372938976;0.9970991617105283;0.38730845871563024;0.007369088440147287;0.007251493079621191;0.008411435269341327;0.9842194762905113;0.000880498372938976;0.9935114099327916
1150;2948.633333333333;0.051222734126897686;0.0020530874543838703;0.003819671394583327;0.29235531855064434;0.016066513020958687;0.0004338371690175771;0.0008278302260782595;0.3235248687381784;0.008512419700508624;0.11600715806971822;0.24415808893765564;0.00444313792495169;0.0043058626525487005;0.011520661779709097;0.9840362002953392;0.0021877498592690896;0.9977446119343173;0.4092212583304089;0.00809470129564257;0.007925495154143319;0.00786909840901822;0.9840362002953392;0.0021877498592690896;0.9940930485636265
