ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06835171227260647;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06801839355217543;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06447681328963531;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06641180519994862;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07027528449194904;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06861242928582637;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
350;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06807416828192916;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
400;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06705747784346887;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
450;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0699576048398544;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
500;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06854164871131277;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
550;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0791087568951448;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
600;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07908819628562445;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
650;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07583904748253599;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
700;225.58333333333334;0.017034433910864115;0.0019273898003346118;0.0034460136273148714;0.026015568708805444;0.0036231884057971015;0.00035460992907801415;0.0006459948320413437;0.01911375661375661;0.004705360124033345;0.08006920820601511;0.05703984385755756;0.0024947600487441606;0.0024352732268980593;0.010131804236855916;0.9873734357144;0.0;0.9975052399512558;0.23925730516238294;0.005506711888090063;0.00546927324850169;0.0071198523975100165;0.9873734357144;0.0;0.99449328811191
750;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08419473397829827;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
800;287.44444444444446;0.05473252950142164;0.00484519544070371;0.008668311270299796;0.09083328704830569;0.012023809523809523;0.0018232022182032277;0.0031317121130351906;0.055636107719441066;0.012810634934303922;0.08593210868291178;0.1213317621699269;0.007194298931068038;0.006782542480811451;0.0322353841817868;0.9605703168871451;0.0001229466246415008;0.9929286476935736;0.26601798736864674;0.017533847437835193;0.017083199055628884;0.021895835675019647;0.9605703168871451;0.0001229466246415008;0.9825890991868061
850;176.27777777777777;0.013888888888888888;0.00010482180293501048;0.00020807324178110696;0.004629629629629629;0.0;0.0;0.0;0.0;5.441288497116732e-05;0.08423895178404178;0.027777777777777776;2.7233115468409585e-05;2.7233115468409585e-05;8.124461967712443e-05;0.9998915222648544;0.0;0.9999727668845316;0.027777777777777776;2.7233115468409585e-05;2.7233115468409585e-05;8.124461967712443e-05;0.9998915222648544;0.0;0.9999727668845316
900;270.1666666666667;0.07043045521306392;0.0059318047878570606;0.010037053396277217;0.09694829050747875;0.011112221112221111;0.002015222498065518;0.003358556109704185;0.09014901704046424;0.012960111897782012;0.08196410529297254;0.10138234804623975;0.007341364001179976;0.006858266316657587;0.020992791271336922;0.971665844727483;2.0141128822554497e-05;0.9926787771276425;0.24974356573289644;0.014186474582046459;0.01370125805523887;0.014147680690470442;0.971665844727483;2.0141128822554497e-05;0.9858336665467762
950;225.05555555555554;0.02914845487309255;0.0030174442479981353;0.005412372088025003;0.03188657895378227;0.009230503795721188;0.00102368526696106;0.0018348778291206894;0.04855367585630743;0.007028743191926087;0.08679216482935755;0.07423057013074187;0.0037441055441851854;0.003679375161067893;0.008387910029534842;0.98786798442628;0.0;0.9962558944558148;0.20397123774901188;0.00597809605969058;0.00594400334805863;0.006153919514029447;0.98786798442628;0.0;0.9940219039403093
1000;272.75;0.0330963864634021;0.005390522721403065;0.009013321725474246;0.0887802826822074;0.011205082742316786;0.0013348029072010423;0.0023227154472990185;0.09596054413592547;0.014739040732902732;0.0857662555636341;0.07289940285944416;0.00855169726719336;0.007894441533335513;0.019235099928516054;0.9722132028042907;2.5604893137617003e-05;0.9914739076259441;0.19434772837541447;0.013738059152187197;0.013047046273161262;0.014048738043522215;0.9722132028042907;2.5604893137617003e-05;0.9862875457409503
1050;314.8333333333333;0.050371519458315764;0.006451670414779535;0.01092816685122965;0.11790690154336694;0.020629343491742946;0.0032989735023080096;0.005537454796245109;0.12790004102504093;0.021207153859974417;0.08894678119439851;0.10848911029962255;0.012992751476085458;0.011619042665476302;0.029470686814671593;0.957536561709243;8.705126772638382e-05;0.987094299791641;0.21245016848244472;0.020237932329059523;0.018775158697643995;0.022225505961697537;0.957536561709243;8.705126772638382e-05;0.9798491189386669
1100;307.8611111111111;0.09995217823971694;0.008236195979236726;0.014241999022031403;0.14086481276888838;0.015344457958622045;0.002679165489802629;0.004485447485753122;0.1602980239129533;0.018545111255686263;0.08827053191395841;0.14102925181198367;0.010977267160234748;0.009954891537261933;0.03104025124683037;0.9579824815929349;3.636658145341832e-05;0.9890590994212185;0.2775950577855288;0.020282111055833586;0.019199572377363614;0.021735407351231542;0.9579824815929349;3.636658145341832e-05;0.9797542555256198
1150;371.05555555555554;0.06579907285352443;0.008280708960305975;0.013642431847857572;0.16479102750961636;0.017408616110501575;0.00346515887570835;0.005526563547884666;0.18427794606727013;0.02551823718442836;0.08956160294818302;0.10402336500416004;0.016401797015974943;0.014190835865699117;0.04697518180011176;0.9366230211839132;0.0010236689934735423;0.9846218719774986;0.21619949926032672;0.027496489492325162;0.02485358518054752;0.03588048932376155;0.9366230211839132;0.0010236689934735423;0.9735271795011483
